Run	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[phenotype]	Sample Characteristic Ontology Term[phenotype]	Factor Value[disease]	Factor Value Ontology Term[disease]	Factor Value[phenotype]	Factor Value Ontology Term[phenotype]	Analysed
SRR1146185	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146186	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146187	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146188	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146189	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146190	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146191	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146192	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146193	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146194	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146195	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146196	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146197	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146198	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146199	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146200	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146201	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146202	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146203	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146204	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146205	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146206	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146207	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146208	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146209	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146210	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146211	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146212	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146213	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146214	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146215	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146216	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146217	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146218	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146219	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146220	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146221	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146222	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146223	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146224	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146225	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146226	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146227	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146228	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146229	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146230	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146231	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146232	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146233	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146234	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146235	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146236	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146237	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146238	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146239	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146240	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146241	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146242	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146243	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146244	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146245	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146246	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146247	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146248	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146249	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146250	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146251	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146252	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146253	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146254	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
