Run	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[phenotype]	Sample Characteristic Ontology Term[phenotype]	Factor Value[disease]	Factor Value Ontology Term[disease]	Factor Value[phenotype]	Factor Value Ontology Term[phenotype]	Analysed
SRR1146123	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146124	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146125	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146126	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146127	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146128	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146129	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146130	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146131	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146132	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146133	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146134	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146135	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146136	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146137	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146138	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146139	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146140	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146141	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	lesional skin		psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	lesional skin		Yes
SRR1146142	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146143	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1146144	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	skin	http://purl.obolibrary.org/obo/UBERON_0000014	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
